,nb_init_infected,density_ref_contact,init_all_ages_successful_contact_rate_human,init_all_ages_factor_contact_rate_asymptomatic,init_all_ages_proportion_asymptomatic,init_all_ages_proportion_hospitalisation,init_all_ages_proportion_icu,init_all_ages_proportion_dead_symptomatic,nb_dead,nb_recovered,nb_susceptibles,nb_infectious,nb_infected,step_max_peak,step_end_epidemiology,cluster
0,2345,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870646,143365,0,0,0,184,1248,False
1,49219,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870737,143274,0,0,0,138,1248,False
2,2345,32.96875,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870506,143505,0,0,0,251,1488,False
3,2345,140.15625,0.39084375,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870754,143257,0,0,0,200,1296,False
4,2345,140.15625,0.70271875,0.95221875,0.14134375,0.92103125,0.79628125,0.67153125,870681,143330,0,0,0,159,1416,False
5,2345,140.15625,0.70271875,0.54678125,0.45321875,0.92103125,0.79628125,0.67153125,554499,459512,0,0,0,179,1272,False
6,2345,140.15625,0.70271875,0.54678125,0.14134375,0.98340625,0.79628125,0.67153125,870634,143377,0,0,0,180,1368,False
7,2345,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.98340625,0.67153125,870708,143303,0,0,0,178,1248,False
8,2345,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.11015625,143868,870143,0,0,0,177,1200,False
9,2345,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91639,922372,0,0,0,254,1272,False
10,49219,140.15625,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91592,922419,0,0,0,137,1200,False
11,49219,32.96875,0.70271875,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91596,922415,0,0,0,162,1200,False
12,49219,32.96875,0.39084375,0.54678125,0.45321875,0.98340625,0.98340625,0.11015625,91608,922403,0,0,0,226,1320,False
13,49219,32.96875,0.39084375,0.95221875,0.14134375,0.98340625,0.98340625,0.11015625,143875,870136,0,0,0,201,1296,False
14,49219,32.96875,0.39084375,0.95221875,0.45321875,0.92103125,0.98340625,0.11015625,91631,922380,0,0,0,200,1392,False
15,49219,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.79628125,0.11015625,91639,922372,0,0,0,201,1248,False
16,49219,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.67153125,554390,459621,0,0,0,201,1272,False
17,49219,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91615,922396,0,0,0,203,1080,True
18,27344,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94399,919612,0,0,0,234,1344,False
19,24219,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94371,919640,0,0,0,228,1584,False
20,27344,277.96875,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94327,919684,0,0,0,250,1296,False
21,27344,385.15625,0.88984375,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94465,919546,0,0,0,179,1248,False
22,27344,385.15625,0.20371875,0.45321875,0.64034375,0.42203125,0.29728125,0.17253125,94286,919725,0,0,0,159,1176,False
23,27344,385.15625,0.20371875,0.04778125,0.95221875,0.42203125,0.29728125,0.17253125,12573,1001438,0,0,0,278,1248,False
24,27344,385.15625,0.20371875,0.04778125,0.64034375,0.48440625,0.29728125,0.17253125,94421,919590,0,0,0,230,1656,False
25,27344,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.48440625,0.17253125,94323,919688,0,0,0,225,1320,False
26,27344,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.60915625,333522,680489,0,0,0,226,1248,False
27,27344,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44361,969650,0,0,0,133,1152,False
28,24219,385.15625,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44227,969784,0,0,0,128,1128,False
29,24219,277.96875,0.20371875,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44310,969701,0,0,0,179,1272,False
30,24219,277.96875,0.88984375,0.04778125,0.95221875,0.48440625,0.48440625,0.60915625,44398,969613,0,0,0,209,1248,False
31,24219,277.96875,0.88984375,0.45321875,0.64034375,0.48440625,0.48440625,0.60915625,333325,680686,0,0,0,136,1488,False
32,24219,277.96875,0.88984375,0.45321875,0.95221875,0.42203125,0.48440625,0.60915625,44269,969742,0,0,0,133,1200,False
33,24219,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.29728125,0.60915625,44309,969702,0,0,0,134,1152,False
34,24219,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.17253125,12537,1001474,0,0,0,131,1248,False
35,24219,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44154,969857,0,0,0,136,1392,False
