,nb_init_infected,density_ref_contact,init_all_ages_successful_contact_rate_human,init_all_ages_factor_contact_rate_asymptomatic,init_all_ages_proportion_asymptomatic,init_all_ages_proportion_hospitalisation,init_all_ages_proportion_icu,init_all_ages_proportion_dead_symptomatic,nb_dead,nb_recovered,nb_susceptibles,nb_infectious,nb_infected,step_max_peak,step_end_epidemiology,cluster
348,16407,492.34375,0.04778125,0.88984375,0.17253125,0.57796875,0.51559375,0.20371875,256443,757568,0,0,0,186,1176,5
349,16407,492.34375,0.04778125,0.88984375,0.17253125,0.32846875,0.88984375,0.20371875,256418,757593,0,0,0,198,1440,1
350,16407,492.34375,0.04778125,0.88984375,0.17253125,0.32846875,0.51559375,0.82746875,839008,175003,0,0,0,182,1200,3
351,16407,201.40625,0.23490625,0.85865625,0.11015625,0.57796875,0.88984375,0.82746875,902312,111699,0,0,0,175,1200,3
352,38281,492.34375,0.23490625,0.85865625,0.11015625,0.57796875,0.88984375,0.82746875,902244,111767,0,0,0,134,1248,3
353,38281,201.40625,0.04778125,0.85865625,0.11015625,0.57796875,0.88984375,0.82746875,902334,111677,0,0,0,210,1272,0
354,38281,201.40625,0.23490625,0.88984375,0.11015625,0.57796875,0.88984375,0.82746875,902449,111562,0,0,0,157,1272,3
355,38281,201.40625,0.23490625,0.85865625,0.17253125,0.57796875,0.88984375,0.82746875,839229,174782,0,0,0,155,1200,3
356,38281,201.40625,0.23490625,0.85865625,0.11015625,0.32846875,0.88984375,0.82746875,902183,111828,0,0,0,161,1176,3
357,38281,201.40625,0.23490625,0.85865625,0.11015625,0.57796875,0.51559375,0.82746875,902432,111579,0,0,0,156,1344,0
358,38281,201.40625,0.23490625,0.85865625,0.11015625,0.57796875,0.88984375,0.20371875,275717,738294,0,0,0,155,1272,6
359,38281,201.40625,0.23490625,0.85865625,0.11015625,0.57796875,0.88984375,0.82746875,902311,111700,0,0,0,156,1200,3
360,22657,186.09375,0.42203125,0.76509375,0.04778125,0.20371875,0.14134375,0.57796875,837107,176904,0,0,0,161,1200,3
361,19532,186.09375,0.42203125,0.76509375,0.04778125,0.20371875,0.14134375,0.57796875,837002,177009,0,0,0,152,1272,3
362,22657,262.65625,0.42203125,0.76509375,0.04778125,0.20371875,0.14134375,0.57796875,837139,176872,0,0,0,149,1320,0
363,22657,186.09375,0.60915625,0.76509375,0.04778125,0.20371875,0.14134375,0.57796875,837123,176888,0,0,0,138,1152,3
364,22657,186.09375,0.42203125,0.98340625,0.04778125,0.20371875,0.14134375,0.57796875,837083,176928,0,0,0,152,1176,3
365,22657,186.09375,0.42203125,0.76509375,0.73390625,0.20371875,0.14134375,0.57796875,233820,780191,0,0,0,152,1176,5
366,22657,186.09375,0.42203125,0.76509375,0.04778125,0.95221875,0.14134375,0.57796875,837047,176964,0,0,0,153,1152,3
367,22657,186.09375,0.42203125,0.76509375,0.04778125,0.20371875,0.76509375,0.57796875,837151,176860,0,0,0,156,1152,3
368,22657,186.09375,0.42203125,0.76509375,0.04778125,0.20371875,0.14134375,0.95221875,965621,48390,0,0,0,156,1248,3
369,22657,262.65625,0.60915625,0.98340625,0.73390625,0.95221875,0.76509375,0.95221875,269873,744138,0,0,0,130,1176,5
370,19532,186.09375,0.60915625,0.98340625,0.73390625,0.95221875,0.76509375,0.95221875,269668,744343,0,0,0,132,1152,5
371,19532,262.65625,0.42203125,0.98340625,0.73390625,0.95221875,0.76509375,0.95221875,269766,744245,0,0,0,135,1248,6
372,19532,262.65625,0.60915625,0.76509375,0.73390625,0.95221875,0.76509375,0.95221875,270058,743953,0,0,0,132,1200,5
373,19532,262.65625,0.60915625,0.98340625,0.04778125,0.95221875,0.76509375,0.95221875,965565,48446,0,0,0,131,1320,3
374,19532,262.65625,0.60915625,0.98340625,0.73390625,0.20371875,0.76509375,0.95221875,269784,744227,0,0,0,129,1488,1
375,19532,262.65625,0.60915625,0.98340625,0.73390625,0.95221875,0.14134375,0.95221875,269740,744271,0,0,0,130,1152,5
376,19532,262.65625,0.60915625,0.98340625,0.73390625,0.95221875,0.76509375,0.57796875,233833,780178,0,0,0,131,1296,6
377,19532,262.65625,0.60915625,0.98340625,0.73390625,0.95221875,0.76509375,0.95221875,269886,744125,0,0,0,131,1128,5
378,47656,431.09375,0.92103125,0.26609375,0.54678125,0.70271875,0.64034375,0.07896875,54470,959541,0,0,0,128,1296,6
379,44531,431.09375,0.92103125,0.26609375,0.54678125,0.70271875,0.64034375,0.07896875,54409,959602,0,0,0,114,1200,5
380,47656,17.65625,0.92103125,0.26609375,0.54678125,0.70271875,0.64034375,0.07896875,54386,959625,0,0,0,252,1320,2
381,47656,431.09375,0.11015625,0.26609375,0.54678125,0.70271875,0.64034375,0.07896875,54452,959559,0,0,0,184,1176,5
382,47656,431.09375,0.92103125,0.48440625,0.54678125,0.70271875,0.64034375,0.07896875,54455,959556,0,0,0,111,1248,5
383,47656,431.09375,0.92103125,0.26609375,0.23490625,0.70271875,0.64034375,0.07896875,91908,922103,0,0,0,129,1296,6
384,47656,431.09375,0.92103125,0.26609375,0.54678125,0.45321875,0.64034375,0.07896875,54503,959508,0,0,0,128,1704,1
385,47656,431.09375,0.92103125,0.26609375,0.54678125,0.70271875,0.26609375,0.07896875,54452,959559,0,0,0,131,1176,5
386,47656,431.09375,0.92103125,0.26609375,0.54678125,0.70271875,0.64034375,0.45321875,312522,701489,0,0,0,129,1368,6
387,47656,17.65625,0.11015625,0.48440625,0.23490625,0.45321875,0.26609375,0.45321875,527536,486475,0,0,0,378,1488,4
388,44531,431.09375,0.11015625,0.48440625,0.23490625,0.45321875,0.26609375,0.45321875,527312,486699,0,0,0,176,1248,3
389,44531,17.65625,0.92103125,0.48440625,0.23490625,0.45321875,0.26609375,0.45321875,527417,486594,0,0,0,206,1320,0
390,44531,17.65625,0.11015625,0.26609375,0.23490625,0.45321875,0.26609375,0.45321875,527387,486624,0,0,0,400,1632,4
391,44531,17.65625,0.11015625,0.48440625,0.54678125,0.45321875,0.26609375,0.45321875,312480,701531,0,0,0,378,1440,4
392,44531,17.65625,0.11015625,0.48440625,0.23490625,0.70271875,0.26609375,0.45321875,527524,486487,0,0,0,378,1464,4
393,44531,17.65625,0.11015625,0.48440625,0.23490625,0.45321875,0.64034375,0.45321875,527509,486502,0,0,0,396,1608,4
